CNN,STREET,COLOR
22585000,OCEAN,Yellow
22585000,PLYMOUTH,Green
24686000,PINE,Green
24686000,SANSOME,Green
25139000,ELLIS,Green
25139000,LEAVENWORTH,Green
24945000,JONES,Green
24945000,O'FARRELL,Green
25956000,FULTON,Green
25956000,WEBSTER,Green
24695000,BATTERY,Green
24695000,WASHINGTON,Green
25813000,18TH ST,Green
25813000,CASTRO,Green
4607000,DAVIS,Green
4607000,MIDBLOCK AT,Green
4607000,CLAY,Green
4607000,SACRAMENTO,Green
24491000,BRYANT,Green
24491000,STERLING,Green
24377000,15TH ST,Green
24377000,VALENCIA,Green
24513000,03RD ST,Green
24513000,HARRISON,Green
23149000,19TH AVE,Green
23149000,SLOAT,Green
26416000,CLAYTON,Green
26416000,OAK,Green
26383000,GOLDEN GATE,Green
26383000,MASONIC,Green
25871000,14TH ST,Green
25871000,DOLORES,Green
24094000,23RD ST,Green
24094000,MISSION,Green
26754000,BAY,Green
26754000,LAGUNA,Green
23141000,JUNIPERO SERRA,Green
23141000,PORTOLA,Green
23141000,SLOAT,Green
23141000,WEST PORTAL,Green
24631000,04TH ST,Green
24631000,MINNA,Green
27288000,08TH AVE,Green
27288000,GEARY,Green
21699000,BOSWORTH,Green
21699000,MISSION,Green
21699000,MURRAY,Green
26027000,OAK,Green
26027000,SCOTT,Green
20467000,03RD ST,Green
20467000,LE CONTE,Green
26723000,BAY,Green
26723000,FRANKLIN,Green
26627000,BUSH,Green
26627000,SCOTT,Green
23611000,CESAR CHAVEZ,Green
23611000,PENNSYLVANIA,Green
24315000,07TH ST,Green
24315000,MISSION,Green
24149000,18TH ST,Green
24149000,MISSION,Green
26446000,HAYES,Green
26446000,STANYAN,Green
30738000,03RD ST,Green
30738000,GEARY,Green
30738000,KEARNY,Green
30738000,MARKET,Green
24494000,01ST ST,Green
24494000,HARRISON,Red
24494000,US I-80 ON RAMP,Green
9751000,OAK,Green
9751000,MIDBLOCK AT,Green
9751000,FRANKLIN,Green
9751000,GOUGH,Green
25223000,BUSH,Green
25223000,VAN NESS,Green
25952000,HAYES,Green
25952000,WEBSTER,Green
24662000,GRANT,Green
24662000,SUTTER,Green
24908000,POST,Green
24908000,STOCKTON,Green
5331101,EVANS,Green
5331101,POST OFFICE,Green
23566000,19TH ST,Green
23566000,ILLINOIS,Green
27578000,ARGUELLO,Green
27578000,LAKE,Red
27578000,SACRAMENTO,Green
21346000,26TH ST,Yellow
21346000,VALENCIA,Green
22424000,FOWLER,Green
22424000,PORTOLA,Red
22424000,SYDNEY,Green
21486000,GENEVA,Green
21486000,MISSION,Green
25906000,GOUGH,Green
25906000,OAK,Green
26699000,FRANKLIN,Green
26699000,LOMBARD,Green
26928000,GEARY,Green
26928000,SPRUCE,Green
26494000,GEARY,Green
26494000,GOUGH,Green
26494000,PETER YORKE,Green
26494000,STARR KING,Green
26507000,GOUGH,Green
26507000,PINE,Green
30731000,01ST ST,Green
30731000,BATTERY,Green
30731000,BUSH,Green
30731000,MARKET,Green
25111000,BROADWAY,Green
25111000,POWELL,Green
25478000,NORTH POINT,Green
25478000,STOCKTON,Green
24022000,16TH ST,Green
24022000,POTRERO,Green
27505000,20TH AVE,Green
27505000,GEARY,Green
25916000,FELL,Green
25916000,GOUGH,Green
34190000,16TH ST,Green
34190000,TERRY FRANCOIS,Green
21737000,ITALY,Green
21737000,MISSION,Green
23204000,19TH AVE,Green
23204000,QUINTARA,Green
27446000,CABRILLO,Green
27446000,PARK PRESIDIO,Green
25004000,MASON,Green
25004000,PINE,Green
6436206,GREAT HWY,Green
6436206,NORIEGA,Green
25179000,O'FARRELL,Yellow
25179000,POLK,Green
23875000,07TH ST,Green
23875000,BRYANT,Red
23875000,US I-80 OFF RAMP,Green
27475000,ANZA,Green
27475000,PARK PRESIDIO,Green
12553201,EMBARCADERO,Green
12553201,MIDBLOCK AT,Red
12553201,FERRY BUILDING NB,Green
24557000,MAIN,Green
24557000,MISSION,Green
10549000,GOODLETT,Green
10549000,MIDBLOCK AT,Green
10549000,GROVE,Green
10549000,MCALLISTER,Green
26044000,EDDY,Green
26044000,FILLMORE,Green
33647000,BACON,Green
33647000,SAN BRUNO,Green
24439000,LARKIN,Green
24439000,MCALLISTER,Green
26698000,FILBERT,Green
26698000,FRANKLIN,Green
25946000,LAGUNA,Green
25946000,MCALLISTER,Green
24498000,FOLSOM,Green
24498000,FREMONT,Green
25191000,EDDY,Green
25191000,FRANKLIN,Green
24372000,14TH ST,Green
24372000,MISSION,Green
24712000,JACKSON,Green
24712000,SANSOME,Green
24192000,10TH ST,Green
24192000,BRYANT,Green
24192000,US 101 S ON RAMP,Green
24903000,GEARY,Green
24903000,POWELL,Green
26175000,DANVERS,Green
26175000,MARKET,Green
27862000,37TH AVE,Green
27862000,FULTON,Green
24756000,CLAY,Green
24756000,MONTGOMERY,Green
24122000,20TH ST,Yellow
24122000,FOLSOM,Green
26058000,BRODERICK,Green
26058000,FELL,Green
23589000,02ND ST,Green
23589000,KING,Green
20296000,BAYSHORE,Green
20296000,TUNNEL,Green
24798000,BROADWAY,Green
24798000,DAVIS,Green
7833201,KING,Green
7833201,MIDBLOCK AT,Green
7833201,03RD ST,Green
7833201,04TH ST,Green
26535000,CLAY,Green
26535000,VAN NESS,Green
25219000,SUTTER,Green
25219000,VAN NESS,Green
23384000,SUNSET,Green
23384000,TARAVAL,Green
54065000,GENEVA,Green
54065000,STONERIDGE,Green
25474000,EMBARCADERO,Green
25474000,KEARNY,Red
25474000,NORTH POINT,Green
24062000,25TH ST,Green
24062000,SOUTH VAN NESS,Green
22943000,14TH AVE,Green
22943000,PORTOLA,Green
22943000,SAN ANSELMO,Green
22943000,SANTA ANA,Green
25536000,BAY,Green
